Column 1,Column 2
Term,Definition
2006 ESPP,2006 Employee Stock Purchase Plan
2006 Plan,2006 Equity Incentive Plan
2024 Restructuring Plan,"Cost and capital reduction initiatives approved by management, the board of directors or the Audit & Finance Committee of the board of directors designed to adjust spending to current business trends and achieve objectives announced in Q3 2024 with respect to reducing operating expenses, reducing capital expenditures and reducing cost of sales while enabling Intel's new operating model and continuing to fund investments in Intel's core strategy"
2025 Restructuring Plan,"Transformational initiative announced and subsequently approved in Q2 2025 by our management to lower expenses, streamline our organizational structure and reduce management layers across functions while reallocating resources toward our core client and server businesses by reducing investment in lower-priority programs and initiatives"
5G,"The fifth-generation mobile network, which brings dramatic improvements in network speeds and latency, and which we view as a transformative technology and opportunity for many industries"
AI,Artificial intelligence
AI PC,Artificial intelligence personal computer
Altera,"Altera Corporation, a business offering programmable semiconductors, primarily FPGAs, and related products for a broad range of applications."
AMD,"Advanced Micro Devices, Inc."
AMIC,Advanced Manufacturing Investment Credit
Apollo,"Apollo Global Management, Inc."
Apple,Apple Inc.
ARM,Advanced RISC machine
ASIC,Application-specific integrated circuit
ASP,Average selling price
BEPS,Base erosion and profit shifting
Broadcom,Broadcom Inc.
Brookfield,Brookfield Asset Management
CAGR,Compound annual growth rate
CCG,Client Computing Group operating segment
CDP,"A nonprofit organization that runs a global disclosure system for investors, companies, cities, states, and regions to manage their environmental impacts"
CEO,Chief executive officer
CHIPS Act,Creating Helpful Incentives to Produce Semiconductors for America Act
CIO,Chief Information Officer
CISO,Chief Information Security Officer
CODM,Chief operating decision maker
COVID-19,"The infectious disease caused by coronavirus (aka SARS-CoV-2), which was declared a global pandemic by the World Health Organization"
CPU,Processor or central processing unit
CSP,Cloud service provider
CTO,Chief Technology Officer
DCAI,Data Center and Artificial Intelligence operating segment
DOC,U.S. Department of Commerce
EC,European Commission
EDA,"Electronic design automation, tools used to design and verify electronic systems, such as integrated circuits and printed circuit boards"
EMIB,"Embedded multi-die interconnect bridge, a form of ""2.5D"" packaging technology developed by Intel that enables high-density interconnect of heterogeneous chips"
EPS,Earnings per share
