Column 1,Column 2
,Page
Forward-Looking Statements,1
Availability of Company Information,2
Overview,3
Our Strategy,3
Our Business,6
Management's Discussion and Analysis,
Operating Segment Results,21
Consolidated Results of Operations,25
Liquidity and Capital Resources,29
Properties,32
Quantitative and Qualitative Disclosures About Market Risk,33
Critical Accounting Estimates,34
Risk Factors,37
Other Key Information,
Information About Our Executive Officers,52
Market for Our Common Stock,53
Stock Performance Graph,53
Issuer Purchases of Equity Securities,53
Rule 10b5-1 Trading Arrangements,54
Cybersecurity,54
Disclosure Pursuant to Section 13(r) of the Securities Exchange Act of 1934,54
Financial Statements and Supplemental Details,
Auditor's Reports,57
Consolidated Financial Statements,60
Notes to Consolidated Financial Statements,65
Key Terms,106
Controls and Procedures,109
Exhibits,110
Form 10-K Cross-Reference Index,116
