Column 1,Column 2
SK hynix,SK hynix Inc.
SLP,Silver Lake Partners
SMIC,Semiconductor Manufacturing International Corporation
Semiconductor Process Technology,Processes and technologies applied in the production of semiconductor logic chips
SoC,"System on a chip, which integrates most of the components of a computer or other electronic system into a single silicon chip. We offer a range of SoC products across many market segments for a variety of applications."
SoftBank Group,SoftBank Group Corp
SOFR,"Secured Overnight Financing Rate, a benchmark interest rate for US-dollar-denominated derivatives and loans, replacing LIBOR"
Systems foundry,A service provider that offers end-to-end semiconductor manufacturing and design solutions
TAM,Total addressable market
Tax Reform,U.S. Tax Cuts and Jobs Act
TCFD,Task Force on Climate-Related Financial Disclosures
Tower,Tower Semiconductor Ltd
TSR,Total stockholder return
UMC,United Microelectronics Corporation
U.S.,United States
U.S. GAAP,U.S. Generally Accepted Accounting Principles
U.S. Retiree Medical Plan,U.S. Postretirement Medical Benefits Plan
VIE,Variable interest entity
xPU,"Processors that are designed for one of four major computing architectures: CPU, GPU, AI accelerator, and FPGA"
