Column 1,Column 2
Escrowed Shares,"Shares of Intel common stock held in escrow to be released to the U.S. Department of Commerce (DOC) as we perform and receive cash proceeds in connection with our CHIPS Act Secure Enclave agreement with the U.S. Government. If Escrowed Shares are not released from escrow at the end of the performance period, half of the shares will be released to the DOC with no consideration and the other half will be forfeited and cancelled."
ESG,"Environmental, social, and governance"
EU,European Union
EUV,Extreme ultraviolet lithography
Exchange Act,Securities Exchange Act of 1934
Fab,Semiconductor manufacturing / wafer fabrication facilities
2024 Form 10-K,"Annual Report on Form 10-K for the year ended December 28, 2024"
FPGA,Field-programmable gate array
GPU,Graphics processing unit
GlobalFoundries,GlobalFoundries Inc.
GRI,Global Reporting Initiative
High-NA EUV,High Numerical Aperture Extreme Ultraviolet
HPC,High-performance computing
IDM,"Integrated device manufacturer, a semiconductor company that both designs and builds chips"
Intel,Intel Corporation
IMS,"IMS Nanofabrication GmbH, a business within Intel Foundry that develops and produces electron-beam systems for the semiconductor industry"
Internet of Things,Internet of Things market in which certain Intel and Mobileye products are sold
IP,Intellectual property
IPO,Initial public offering
IPU,"Infrastructure processing unit, a programmable networking device designed to enable cloud and communication service providers to reduce overhead and free up performance for CPUs"
MaaS,Mobility as a service
MD&A,Management's Discussion and Analysis
Mentee Robotics,Mentee Robotics Ltd.
MG&A,"Marketing, general, and administrative"
NAND,NAND flash memory
NEX,Networking and Edge operating segment
nm,Nanometer
NPU,Neural processing unit
NVIDIA,NVIDIA Corporation
ODM,Original design manufacturer
OECD,Organization for Economic Co-operation and Development
OEM,Original equipment manufacturer
oneAPI,"Open, cross-architecture programming model that frees developers to use a single code base across multiple architectures"
PC,Personal computer
PowerVia,"Intel's backside power delivery technology that routes power connections to the back side of the chip through dedicated vias, separating power delivery from signal routing to reduce congestion, improve power efficiency, and enable better chip performance and design flexibility in advanced manufacturing nodes."
PSU,Performance stock unit
Qualcomm,"Qualcomm, Inc."
R&D,Research and development
RDFV,Readily determinable fair value
RibbonFET,A Gate-All-Around (GAA) transistor technology developed by Intel that uses ribbon-shaped semiconductor nanosheets completely surrounded by the gate electrode.
RISC-V,"Reduced Instruction Set Computer, version five"
RSU,Restricted stock unit
SASB,Sustainability Accounting Standards Board
SCIP,Semiconductor Co-Investment Program
SEC,U.S. Securities and Exchange Commission
Secure Enclave,Secure Enclave program under the CHIPS Act
Semiconductor Logic Chip,"The ""brain"" of electronic devices, processing information to complete tasks"
